type,affix,lang,word,trans
infix,bio,Basque,abiotic,abiotikoa
infix,bio,Basque,antibody,antigorputz
infix,bio,Basque,symbiotic,sinbiotikoa
infix,bio,Catalan,abiotic,abiòtic
infix,bio,Catalan,antibody,anticòs
infix,bio,Catalan,symbiotic,symbiotic
infix,bio,Danish,abiotic,abiotiske
infix,bio,Danish,antibody,antistof
infix,bio,Danish,symbiotic,symbiotiske
infix,bio,Dutch,abiotic,abiotisch
infix,bio,Dutch,antibody,antilichaam
infix,bio,Dutch,symbiotic,symbiotisch
infix,bio,Estonian,abiotic,abiootiline
infix,bio,Estonian,antibody,antikeha
infix,bio,Estonian,symbiotic,sümbioos
infix,bio,Finnish,abiotic,abioottinen
infix,bio,Finnish,antibody,vasta-aine
infix,bio,Finnish,symbiotic,symbioottinen
infix,bio,French,abiotic,abiotiques
infix,bio,French,antibody,anticorps
infix,bio,French,symbiotic,symbiotique
infix,bio,German,abiotic,abiotischen
infix,bio,German,antibody,Antikörper
infix,bio,German,symbiotic,symbiotisch
infix,bio,Hungarian,abiotic,abiotikus
infix,bio,Hungarian,antibody,antitest
infix,bio,Hungarian,symbiotic,szimbiotikus
infix,bio,Icelandic,abiotic,ófrumleg
infix,bio,Icelandic,antibody,mótefni
infix,bio,Icelandic,symbiotic,sambýli
infix,bio,Irish,abiotic,aibitheach
infix,bio,Irish,antibody,antasubstainte
infix,bio,Irish,symbiotic,siombóiseach
infix,bio,Italian,abiotic,abiotico
infix,bio,Italian,antibody,anticorpo
infix,bio,Italian,symbiotic,simbiotico
infix,bio,Latin,abiotic,abiotic
infix,bio,Latin,antibody,antibody
infix,bio,Latin,symbiotic,symbiotic
infix,bio,Latvian,abiotic,abiotikas
infix,bio,Latvian,antibody,antiviela
infix,bio,Latvian,symbiotic,simbioze
infix,bio,Luxembourg,abiotic,abiotischen
infix,bio,Luxembourg,antibody,Antikierper
infix,bio,Luxembourg,symbiotic,symbiotisch
infix,bio,Norwegian,abiotic,abiotisk
infix,bio,Norwegian,antibody,antistoff
infix,bio,Norwegian,symbiotic,symbiotisk
infix,bio,Portuguese,abiotic,abiotico
infix,bio,Portuguese,antibody,anticorpo
infix,bio,Portuguese,symbiotic,simbiotico
infix,bio,Scottish,abiotic,abiotic
infix,bio,Scottish,antibody,antibody
infix,bio,Scottish,symbiotic,symbiotic
infix,bio,Spanish,abiotic,abiótico
infix,bio,Spanish,antibody,anticuerpo
infix,bio,Spanish,symbiotic,simbiótico
infix,bio,Swedish,abiotic,abiotisk
infix,bio,Swedish,antibody,antikropp
infix,bio,Swedish,symbiotic,symbios
infix,bio,Welsh,abiotic,anfiotig
infix,bio,Welsh,antibody,gwrthgorff
infix,bio,Welsh,symbiotic,symbiotig
infix,cog,Basque,incognito,inkognito
infix,cog,Basque,recognize,aitortu
infix,cog,Catalan,incognito,incognito
infix,cog,Catalan,recognize,reconèixer
infix,cog,Danish,incognito,Incognito
infix,cog,Danish,recognize,genkende
infix,cog,Dutch,incognito,incognito
infix,cog,Dutch,recognize,herkennen
infix,cog,Estonian,incognito,inkognito
infix,cog,Estonian,recognize,tunnistama
infix,cog,Finnish,incognito,incognito
infix,cog,Finnish,recognize,tunnistaa
infix,cog,French,recognize,reconnaître
infix,cog,German,incognito,Inkognito
infix,cog,German,recognize,erkennen
infix,cog,Hungarian,incognito,inkognitóban
infix,cog,Hungarian,recognize,felismerés
infix,cog,Icelandic,recognize,viðurkenna
infix,cog,Irish,incognito,incognito
infix,cog,Italian,incognito,incognito
infix,cog,Italian,recognize,riconoscere
infix,cog,Latin,incognito,incognito
infix,cog,Latin,recognize,agnoscere
infix,cog,Latvian,incognito,inkognito
infix,cog,Luxembourg,incognito,Inkognito
infix,cog,Luxembourg,recognize,erkennen
infix,cog,Norwegian,incognito,inkognito
infix,cog,Norwegian,recognize,gjenkjenne
infix,cog,Portuguese,incognito,anonimo
infix,cog,Portuguese,recognize,reconhecer
infix,cog,Scottish,incognito,incognito
infix,cog,Scottish,recognize,aithneachadh
infix,cog,Spanish,recognize,reconocer
infix,cog,Swedish,incognito,inkognito
infix,cog,Swedish,recognize,igen
infix,cog,Welsh,incognito,incognito
infix,cog,Welsh,recognize,cydnabod
infix,di,Basque,biodiversity,bioaniztasuna
infix,di,Catalan,biodiversity,biodiversitat
infix,di,Danish,biodiversity,biodiversitet
infix,di,Dutch,biodiversity,biodiversiteit
infix,di,Estonian,biodiversity,bioloogiline
infix,di,French,biodiversity,biodiversité
infix,di,German,biodiversity,biologischen
infix,di,Hungarian,biodiversity,biodiverzitás
infix,di,Italian,biodiversity,biodiversità
infix,di,Latin,biodiversity,biodiversity
infix,di,Luxembourg,biodiversity,biologesche
infix,di,Norwegian,biodiversity,biologisk
infix,di,Portuguese,biodiversity,biodiversidade
infix,di,Scottish,biodiversity,bith-iomadachd
infix,di,Spanish,biodiversity,biodiversidad
infix,di,Swedish,biodiversity,biologisk
