infix,bio,of life,"symbiotic, antibiotic, abiotic",done
infix,cog,thinking,"recognize, incognito",done
infix,di,two,biodiversity,done
infix,dist,far away,equidistant,done
infix,hydr,of whater,"dehydrate, anhydrate",done
infix,just,fair,injustice,done
infix,morph,of change or shape,"amorphous, metamorphosis, heteromorphic",done
infix,mort,of death,immortal,done
infix,nat,of life,unnatural,done
infix,olog,the study of something,"geology, meteorology, mythology, anthropologic",done
infix,phil,having the love of something,"anglophile, francophilia",done
infix,phob,having the fear of something,"zoophobia, euphobia, acrophobia, claustrophobic",done
infix,press,of force,impressive,done
infix,sym,the same,assymetric,done
infix,viv,of live,convivial,done
prefix,a,"lacking, without, not","amoral, atheist, abiotic",done
prefix,ab,"away, removed, not","abnormal, abstract, absent",done
prefix,agor,of wide spaces,agoraphobia,done
prefix,amor,of love,amorous,done
prefix,an,"without, not, lacking","anaerobic, anacoustic, anhydrous",done
prefix,ante,"before, prior to, front","antebellum, antechamber, anterior",done
prefix,anti,"against, opposing, contrary to","antibiotic, antifreeze, antisocial",done
prefix,aqu,of water,"aquatic, aquaduct, aqueous",done
prefix,arach,of spiders,arachnophobia,done
prefix,aud,of hearing,"auditory, audition, auditorium",done
prefix,auto,"self, one's self, yourself","autobiography, autograph, autonomy",done
prefix,bene,good or goodness,"benevolent, benefit, benefactor",done
prefix,bi,two,"bisexual, bilateral, binary",done
prefix,bio,of life,"biology, biohazard, biomass",done
prefix,blan,white,"blank, bland, blanch",done
prefix,chron,of time,"chronological, chronometer, chronicle",done
prefix,circum ,"around, go around","circumnavigate, circumscribe, circumvent",done
prefix,co,"jointly, with, together","coexist, copilot, coworker",done
prefix,cog,think,"cognition, cogitate",done
prefix,com,"together, with","commiserate, compartment, community",done
prefix,con,"with, together","confound, confluence, conversation",done
prefix,contra,"contrary to, against, opposing","contraindicated, contralateral, contraflow",done
prefix,counter,"opposing, contrary to, against","counterproposal, counteroffer, counter-attack",done
prefix,de,"reverse, undo, remove","deactivate, de-ice, deplane",done
prefix,demi,half,"demigod, demimonde",done
prefix,dis,"remove, separate, apart from","disagree, disapprove, disconnect",done
prefix,dist,far away,"distant, distal, equidistant",done
prefix,div,awa,"divide, diverse, divurge",done
prefix,en,"put into, surround","encase, endow, envelope",done
prefix,equ,the same,"equate, equal, equilateral, equivocal",done
prefix,ex,"away from, former, lacking","ex-husband, ex-wife, ex-boss",done
prefix,exo,"out, outer","exhale, extend, exoskeleton",done
prefix,extra,"beyond, more","extracurricular, extraterrestrial, extravert",done
prefix,flu,flowing,"fluid, fluent, flux, fluvial",done
prefix,gyn,of women,gynecology,done
prefix,hemi,half,hemisphere,done
prefix,hetero,"different, not the same","heterogeneous, heterosexual, heterocyst",done
prefix,homo,"same, not different","homogenize, homophone, homosexual",done
prefix,hydr,of water,"hydrant, hydrate, hydrology",done
prefix,hyper,"extreme, beyond","hyperactive, hyperspace, hypertension,",done
prefix,il,"not, lacking, without","illegal, illegible, illogical",done
prefix,im,"without, not, lacking","impossible, improper, impermeable",done
prefix,in,"no, without, lacking","injustice, incomplete, invisible",done
prefix,inter,"between, in the midst of, among","intermittent, intersect, interstate",done
prefix,intra,between two things,"intramural, intrasttate",done
prefix,ir,"not, non, opposite","irreversible, irreplaceable, irregular",done
prefix,jur,of the law,"jurisprudence, jury",done
prefix,just,fair,"justice, justify",done
prefix,macro,large,macroscopic,done
prefix,mal,bad,"malfeasance, maleficent, malaise",done
prefix,mega ,"large, massive","megaphone, megadose, megabyte",done
prefix,micro,"small, tiny","microcosm, microphone, microscope",done
prefix,mid,middle. midpoint,"midnight, midseason, midterm",done
