claimant,claimantNorm,claimantCat
Adam Best,Adam Best,entertainer
Akun Facebook,Facebook user(s),social media user(s)
Alcee Hastings,Alcee Hastings,politician
Alec Baldwin,Alec Baldwin,entertainer
Alyssa Milano,Alyssa Milano,entertainer
America's Last Line of Defense,americaslastlineofdefense.com,"political website, show, or commentator"
americaslastlineofdefense.com,americaslastlineofdefense.com,"political website, show, or commentator"
Amit Malviya and many others on Facebook,Amit Malviya,politician
Amy Klobuchar,Amy Klobuchar,politician
Amy Schumer,Amy Schumer,entertainer
Aníbal Fernández,Anabal Fernandez,politician
Anand S Jha facebook Page,Anands Jha,private industry
Andrew Gillum,Andrew Gillum,politician
Ashley Moody,Ashley Moody,politician
Ayonla Multimedia,Ayonla Multimedia,social media user(s)
Barack Obama,Barack Obama,politician
Berbagai sumber,various sources,various sources
Bernie Sanders,Bernie Sanders,politician
Beto O'Rourke,Beto O'Rourke,politician
Beverly Boswell,Beverly Boswell,politician
Bill Clinton,Bill Clinton,politician
Bloggers,social media user(s),social media user(s)
Boato de Facebook,Facebook user(s),social media user(s)
boatos de redes sociais,social media user(s),social media user(s)
Boatos de redes sociais,social media user(s),social media user(s)
Boatos em redes sociais,social media user(s),social media user(s)
Bob Katter MP,Bob Katter,politician
César Blanco,Cesar Blanco,politician
chair of Gun Owners South Africa,Gun Owners South Africa,gun association
Charles Schumer,Charles Schumer,politician
Chris Collins,Chris Collins,politician
Chris Jacobs,Chris Jacobs,entertainer
Chris Murphy,Chris Murphy,politician
Chris Taylor,Chris Taylor,entertainer
Chris Wallace,Chris Wallace,mainstream journalist or news outlet
CNN,CNN,mainstream journalist or news outlet
Colton Haab,Colton Haab,social media user(s)
Common Sense Show,Common Sense Show,"political website, show, or commentator"
Conservative Daily Post,Conservative Daily Post,"political website, show, or commentator"
Cory Booker,Cory Booker,politician
Curt Schilling,Curt Schilling,entertainer
Dana Loesch,Dana Loesch,entertainer
Dave McCormick,Dave McCormick,politician
Debbie Wasserman Schultz,Debbie Wasserman Schultz,politician
desinformação,various sources,various sources
Donald J. Trump for President,Donald Trump,politician
Donald Trump,Donald Trump,politician
Eduardo Girão,Eduardo Girao,politician
Eric Swalwell,Eric Swalwell,politician
Eric Trump,Eric Trump,politician
Everytown for Gun Safety,Everytown for Gun Safety,gun association
Facebook,Facebook user(s),social media user(s)
Facebook account,Facebook user(s),social media user(s)
Facebook page of “Azamgarh Express”,Facebook user(s),social media user(s)
Facebook Post,Facebook user(s),social media user(s)
Facebook post,Facebook user(s),social media user(s)
Facebook posts,Facebook user(s),social media user(s)
Facebook user,Facebook user(s),social media user(s)
Facebook users,Facebook user(s),social media user(s)
facebook.com,Facebook user(s),social media user(s)
FDI,FDI,gun association
Flávio Bolsonaro,Flavio Bolsonaro,politician
Fuentes múltiples,various sources,various sources
Fully Vaxxed G!,Twitter user(s),social media user(s)
Gavin Newsom,Gavin Newsom,politician
General Augusto Heleno,General Augusto Heleno,politician
Giffords PAC,Giffords PAC,PAC
Go Left,Go Left,social media user(s)
Harry Reid,Harry Reid,politician
Hillary Clinton,Hillary Clinton,politician
HoustonChronicle-tv.com,houstonchronicle-tv.com,mainstream journalist or news outlet
i.imgur.com,i.imgur.com,social media user(s)
Initial news reports,various sources,various sources
Instagram posts,Instagram user(s),social media user(s)
instagram.com,Instagram user(s),social media user(s)
Internet post,social media user(s),social media user(s)
Internet Rumors,Internet rumors,social media user(s)
Internet rumors,Internet rumors,social media user(s)
ISIS,ISIS,government entity
Jackie Speier,Jackie Speier,politician
Jair Bolsonaro,Jair Bolsonaro,politician
James Corden,James Corden,entertainer
James Lankford,James Lankford,politician
Jason Kander,Jason Kander,politician
Jeff Greenfield,Jeff Greenfield,mainstream journalist or news outlet
Jeff Sessions,Jeff Sessions,politician
Jerrold Nadler,Jerrold Nadler,politician
Jimmy Kimmel,Jimmy Kimmel,"political website, show, or commentator"
João Doria,Joao Doria,politician
Joe Biden,Joe Biden,politician
Joe Scarborough,Joe Scarborough,politician
John Delaney,John Delaney,politician
Joy Behar,Joy Behar,mainstream journalist or news outlet
Joy Reid,Joy Reid,"political website, show, or commentator"
Kamala D. Harris,Kamala Harris,politician
Kamala Harris,Kamala Harris,politician
Kanal YouTube dan akun Facebook,Facebook user(s),social media user(s)
Kavita Krishnan,Kavita Krishnan,politician
Keith Edwards,Keith Edwards,entertainer
Kevin Nicholson,Kevin Nicholson,politician
Kirsten Gillibrand,Kirsten Gillibrand,politician
Larry Elder,Larry Elder,"political website, show, or commentator"
Mainstream media,various sources,various sources
