textualRating,newRating
FALSE,1
Mostly False,2
Mostly True,2
TRUE,6
Pants on Fire,1
Half True,3
Misleading,5
Three Pinocchios,1
Missing Context,5
Two Pinocchios,2
Mostly false,2
Falso,1
Four Pinocchios,1
NRA Opposed Toomey's Bill,0
Exagerado,5
Discutível,0
Mixture,3
Correct Attribution,0
"Verdadeiro, mas",0
Out of Context,5
FALSE,1
Disputed Claim,0
Keliru,0
No Evidence,1
Not clear yet,0
Spins the Facts,5
Satire,6
Many guns still allowed,0
Mental health experts say no,0
Wrong,1
Unclear,0
Facile comparison,5
Verdadeiro,0
Unproven,0
Distorts the Facts,5
Predominantemente falso,2
falso,1
This is misleading.,5
Understated/exaggerated,5
The viral image of the clergyman posing with a gun in a church has been online since January 2017 and has nothing to do with the Sokoto incident of last week; thus making the claim FALSE.,5
Trump shifts stances,0
Unsupported,0
The number checks out.,6
The decommissioning process of MILF rebels already started in 2015 as part of the agreement between the rebel group and the Philippine government. An international decommissioned body was in charge of overseeing the process.,0
We Review His Record,0
Sem contexto,0
"Wrong, he mispoke",1
misleading,5
Salah [False Context],0
A,0
Partly False,2
Falta Contexto,0
Correct,6
Depends on how you do the math,5
Discutible,0
Distorts The Facts,5
Engañoso,0
Evidence Unclear,0
Fake News. Il VAERS non riporta il numero di morti da vaccino e il dato delle morti da armi da fuoco è errato per eccesso,1
False. None of those four countries give children firearms at school.,1
False: Bad conduct discharge,1
Geppetto Checkmark,6
Notizia falsa,0
Government-Run,0
Half true,3
Impreciso,0
Incorrect,1
"Accurate, but misleading.",5
No Effect,0
Not the Whole Story,5
Not the best example,5
Not the whole story,5
"Το πυροβόλο Bofors, μπροστά από το οποίο φωτογραφίζεται Ουκρανός στρατιώτης, δε φέρει ""ελληνική"" παραλλαγή, αλλά ένα κοινό χρώμα παραλλαγής, που χρησιμοποιείται και από άλλους στρατούς. Επιπλέον, το κίτρινο χρώμα στις δυο κάνες, βρίσκεται σε διαφορετική θέση, ενώ οι δυο φωτογραφίες που τις απεικονίζουν, έχουν ληφθεί με διαφορά 11 χρόνων μεταξύ τους.",0
????,0
Faux,1
????,0
The majority are suicides.,5
Not accurate,1
Salah [TRUE],6
Salah [Clarification],5
Evidence gets stronger,5
Miscaptioned,5
By Some Counts Yes,5
Lots of context needed,5
Insustent�vel,0
Too soon to say,0
No proof this happened,1
FAUX,1
Newspaper didn't alter stories,0
43% Murders,5
Poco probable,0
Rates are even higher,0
Reality is more complex,5
Salah [Misleading Content],5
Science Doesn't Support Claim,1
Sesat,0
Starting Point,0
True.,6
We Explain the Number,5
We don�t have exact figures for this year yet. The closest data we have is for homicides involving stabbings in London until the end of last year and those involving stabbings or shootings across the whole of England and Wales in 2016/17. These show increases in the past year or two and more young male victims.,5
rather_false,2
Not Her Plan,1
??,0
Both claims are False,1
Lacks Context,5
Errado,0
Fake,1
Depends how you count,5
Exaggerates,5
Misses Mark,5
Experts are skeptical,0
"""Moorland in England used for grouse shooting is eligible for agricultural subsidy",0
Data on the total subsidy paid to grouse moors isn�t published,0
No Giveaway,0
Altered,1
Falsa.,1
Fake Quote,1
U.S. Citizen,0
False � The primary claims of the content are factually inaccurate.,1
Experts say no causal link,1
Unproven.,1
Trolling,1
Fake Tweets,1
No proof of ISIS links (FBI),1
Evidence is growing,4
Very Old Stats,5
Vote delayed,0
We Explain the Research,5
Tracks with rough data,4
We Review Research,0
Different Guy,0
Cops Say No,1
Both reports of the death of a man named Bernie Gores are fake.,1
?????,0
???,0
About 98.9%,0
????,0
Training,0
Fa?sz.,1
"""False. The footage actually shows a robbery in Houston that took place more than four years ago",1
Nobody Shot at March,1
No ID On Agent,1
Not Ramos,1
Not Stolen,1
Mostly Legit,4
Mix,3
Misplaced Context,5
Phrase evokes police brutality,0
"""Misleading. The original video was produced in 2016. It shows a fire alarm",5
Many private sales exempt,0
Manipulacja.,0
Recycled Bunk,1
Repeat Prank,1
Reverse Order,0
SALAH,0
MISLEADING,5
Lacks context,5
Just Ramos,0
It's Calif. law,0
His numbers are outdated,5
He's very close,4
Shift from past position,0
"""Gr��tenteils falsch. Polizeibeamte d�rfen nicht von einer Schusswaffe Gebrauch machen",0
The claim that the Ugandan police spokesman hits a news reporter with a catapult for asking irrelevant questions is FALSE.,1
Got the wrong person,1
Flip- flop,0
No Such Case,1
Fa?sz,1
Ne postoje dokazi da je rije? o false flag operaciji.,0
