type,affix,lang,word,trans
prefix,a,Basque,abiotic,abiotikoa
prefix,a,Basque,atheist,ateo
prefix,a,Basque,amoral,amoral
prefix,a,Catalan,abiotic,abiòtic
prefix,a,Catalan,atheist,ateu
prefix,a,Catalan,amoral,amoral
prefix,a,Danish,abiotic,abiotiske
prefix,a,Danish,atheist,ateist
prefix,a,Danish,amoral,amoral
prefix,a,Dutch,abiotic,abiotisch
prefix,a,Dutch,atheist,atheïst
prefix,a,Dutch,amoral,amoreel
prefix,a,Estonian,abiotic,abiootiline
prefix,a,Estonian,atheist,ateist
prefix,a,Estonian,amoral,amoral
prefix,a,Finnish,abiotic,abioottinen
prefix,a,Finnish,atheist,ateisti
prefix,a,Finnish,amoral,amoral
prefix,a,French,abiotic,abiotiques
prefix,a,French,atheist,athée
prefix,a,French,amoral,amoral
prefix,a,German,abiotic,abiotischen
prefix,a,German,atheist,Atheist
prefix,a,German,amoral,amoralisch
prefix,a,Hungarian,abiotic,abiotikus
prefix,a,Hungarian,atheist,ateista
prefix,a,Hungarian,amoral,amorális
prefix,a,Icelandic,abiotic,ófrumleg
prefix,a,Icelandic,atheist,atheist
prefix,a,Icelandic,amoral,amoral
prefix,a,Irish,abiotic,aibitheach
prefix,a,Irish,atheist,aindiachaí
prefix,a,Irish,amoral,amoral
prefix,a,Italian,abiotic,abiotico
prefix,a,Italian,atheist,ateo
prefix,a,Italian,amoral,amorale
prefix,a,Latin,abiotic,abiotic
prefix,a,Latin,atheist,atheus
prefix,a,Latin,amoral,amoral
prefix,a,Latvian,abiotic,abiotikas
prefix,a,Latvian,atheist,ateists
prefix,a,Latvian,amoral,amoral
prefix,a,Luxembourg,abiotic,abiotischen
prefix,a,Luxembourg,atheist,Atheist
prefix,a,Luxembourg,amoral,amoralisch
prefix,a,Norwegian,abiotic,abiotisk
prefix,a,Norwegian,atheist,ateist
prefix,a,Norwegian,amoral,amoral
prefix,a,Portuguese,abiotic,abiotico
prefix,a,Portuguese,atheist,ateu
prefix,a,Portuguese,amoral,amoral
prefix,a,Scottish,abiotic,abiotic
prefix,a,Scottish,atheist,atheist
prefix,a,Scottish,amoral,amoral
prefix,a,Spanish,abiotic,abiótico
prefix,a,Spanish,atheist,ateo
prefix,a,Spanish,amoral,amoral
prefix,a,Swedish,abiotic,abiotisk
prefix,a,Swedish,atheist,ateist
prefix,a,Swedish,amoral,omoralisk
prefix,a,Welsh,abiotic,anfiotig
prefix,a,Welsh,atheist,anffyddiwr
prefix,a,Welsh,amoral,amoral
prefix,ab,Basque,abstract,abstraktua
prefix,ab,Basque,abnormal,anormala
prefix,ab,Catalan,absent,absent
prefix,ab,Catalan,abstract,abstract
prefix,ab,Catalan,abnormal,anormal
prefix,ab,Danish,absent,mangler
prefix,ab,Danish,abstract,abstrakt
prefix,ab,Danish,abnormal,unormal
prefix,ab,Dutch,absent,afwezig
prefix,ab,Dutch,abstract,abstract
prefix,ab,Dutch,abnormal,abnormaal
prefix,ab,Estonian,absent,puudub
prefix,ab,Estonian,abstract,abstraktne
prefix,ab,Estonian,abnormal,ebanormaalne
prefix,ab,Finnish,absent,poissa
prefix,ab,Finnish,abstract,abstrakti
prefix,ab,Finnish,abnormal,epänormaali
prefix,ab,French,absent,absent
prefix,ab,French,abstract,abstrait
prefix,ab,French,abnormal,anormal
prefix,ab,German,absent,abwesend
prefix,ab,German,abstract,abstrakt
prefix,ab,German,abnormal,abnorm
prefix,ab,Hungarian,absent,hiányzik
prefix,ab,Hungarian,abstract,absztrakt
prefix,ab,Hungarian,abnormal,kóros
prefix,ab,Icelandic,absent,engin
prefix,ab,Icelandic,abstract,abstrakt
prefix,ab,Icelandic,abnormal,óeðlileg
prefix,ab,Irish,abstract,teibí
prefix,ab,Irish,abnormal,neamhghnácha
prefix,ab,Italian,absent,assente
prefix,ab,Italian,abstract,astratto
prefix,ab,Italian,abnormal,anormale
prefix,ab,Latin,absent,absens
prefix,ab,Latin,abstract,abstracto
prefix,ab,Latin,abnormal,abnormes
prefix,ab,Latvian,abstract,abstrakts
prefix,ab,Luxembourg,absent,abwesend
prefix,ab,Luxembourg,abstract,abstrakt
prefix,ab,Luxembourg,abnormal,norwegesch
prefix,ab,Norwegian,absent,fraværende
prefix,ab,Norwegian,abstract,abstrakt
prefix,ab,Norwegian,abnormal,unormal
prefix,ab,Portuguese,absent,ausente
prefix,ab,Portuguese,abstract,resumo
prefix,ab,Portuguese,abnormal,anormal
prefix,ab,Scottish,absent,iarraidh
prefix,ab,Scottish,abstract,abstract
prefix,ab,Scottish,abnormal,abnormal
prefix,ab,Spanish,absent,ausente
prefix,ab,Spanish,abstract,abstracto
prefix,ab,Spanish,abnormal,anormal
prefix,ab,Swedish,absent,borta
prefix,ab,Swedish,abstract,abstrakt
prefix,ab,Swedish,abnormal,onormal
prefix,ab,Welsh,absent,absennol
prefix,ab,Welsh,abstract,abstract
prefix,ab,Welsh,abnormal,annormal
prefix,an,Basque,anacoustic,anakustikoa
prefix,an,Basque,anhydrous,anhidrido
prefix,an,Basque,anaerobic,anaerobikoa
prefix,an,Catalan,anacoustic,anacoustic
prefix,an,Catalan,anhydrous,anhidre
prefix,an,Catalan,anaerobic,anaeròbic
prefix,an,Danish,anacoustic,anakustisk
prefix,an,Danish,anhydrous,vandfri
prefix,an,Danish,anaerobic,anaerob
prefix,an,Dutch,anacoustic,anakoestisch
prefix,an,Dutch,anhydrous,watervrij
prefix,an,Dutch,anaerobic,anaërobe
prefix,an,Estonian,anacoustic,anakustiline
prefix,an,Estonian,anhydrous,Veevaba
prefix,an,Estonian,anaerobic,anaeroobne
prefix,an,Finnish,anacoustic,anakustinen
prefix,an,Finnish,anhydrous,vedetön
prefix,an,Finnish,anaerobic,anaerobinen
prefix,an,French,anacoustic,anacoustique
prefix,an,French,anhydrous,anhydre
prefix,an,French,anaerobic,anaérobie
prefix,an,German,anacoustic,anakustik
prefix,an,German,anhydrous,wasserfrei
prefix,an,German,anaerobic,anaerob
prefix,an,Hungarian,anacoustic,anakusztikus
prefix,an,Hungarian,anhydrous,vízmentes
prefix,an,Hungarian,anaerobic,anaerob
prefix,an,Icelandic,anacoustic,blythe
prefix,an,Icelandic,anhydrous,vatnsfrí
prefix,an,Icelandic,anaerobic,loftfirrð
prefix,an,Irish,anacoustic,anacoustic
prefix,an,Irish,anhydrous,ainhidriúil
prefix,an,Irish,anaerobic,anaeróbach
prefix,an,Italian,anacoustic,anacustica
prefix,an,Italian,anhydrous,anidro
prefix,an,Italian,anaerobic,anaerobica
prefix,an,Latin,anacoustic,anacoustic
prefix,an,Latin,anhydrous,anhydrous
prefix,an,Latin,anaerobic,anaerobic
prefix,an,Latvian,anacoustic,anakustisks
prefix,an,Latvian,anaerobic,anaerobs
prefix,an,Luxembourg,anacoustic,anakustik
prefix,an,Luxembourg,anhydrous,waasserfräi
prefix,an,Luxembourg,anaerobic,anaerob
prefix,an,Norwegian,anacoustic,anakustiske
prefix,an,Norwegian,anhydrous,vannfri
prefix,an,Norwegian,anaerobic,anaerob
prefix,an,Portuguese,anacoustic,anacústica
prefix,an,Portuguese,anhydrous,anidro
prefix,an,Portuguese,anaerobic,anaerobio
prefix,an,Scottish,anacoustic,anacoustic
prefix,an,Scottish,anhydrous,anhydrous
prefix,an,Scottish,anaerobic,anaerobic
prefix,an,Spanish,anacoustic,anacústica
prefix,an,Spanish,anhydrous,anhidro
prefix,an,Spanish,anaerobic,anaeróbico
prefix,an,Swedish,anacoustic,anacoustic
prefix,an,Swedish,anhydrous,vattenfri
prefix,an,Swedish,anaerobic,anaerob
prefix,an,Welsh,anacoustic,anacoustic
prefix,an,Welsh,anhydrous,anhydrus
prefix,an,Welsh,anaerobic,anaerobig
